k,L,Step,Agent,Horizon,CurrentPos,Selected_Action,Q_Current,Pos_Up,Q_Up,Pos_Down,Q_Down,Pos_Left,Q_Left,Pos_Right,Q_Right
3,20,0,0,1,"(13, 2)",0,"[0, 0, 0, 0, 0]","(13, 1)","[0, 0, 0, 0, 0]","(13, 3)","[0, 0, 0, 0, 0]","(12, 2)","[0, 0, 0, 0, 0]","(14, 2)","[0, 0, 0, 0, 0]"
3,20,0,0,2,"(13, 2)",0,"[0, 0, 0, 0, 0]","(13, 1)","[0, 0, 0, 0, 0]","(13, 3)","[0, 0, 0, 0, 0]","(12, 2)","[0, 0, 0, 0, 0]","(14, 2)","[0, 0, 0, 0, 0]"
3,20,0,0,3,"(13, 2)",0,"[0, 0, 0, 0, 0]","(13, 1)","[0, 0, 0, 0, 0]","(13, 3)","[0, 0, 0, 0, 0]","(12, 2)","[0, 0, 0, 0, 0]","(14, 2)","[0, 0, 0, 0, 0]"
3,20,0,1,1,"(10, 10)",0,"[0, 0, 0, 0, 0]","(10, 9)","[0, 0, 0, 0, 0]","(10, 11)","[0, 0, 0, 0, 0]","(9, 10)","[0, 0, 0, 0, 0]","(11, 10)","[0, 0, 0, 0, 0]"
3,20,0,1,2,"(10, 10)",0,"[0, 0, 0, 0, 0]","(10, 9)","[0, 0, 0, 0, 0]","(10, 11)","[0, 0, 0, 0, 0]","(9, 10)","[0, 0, 0, 0, 0]","(11, 10)","[0, 0, 0, 0, 0]"
3,20,0,1,3,"(10, 10)",0,"[0, 0, 0, 0, 0]","(10, 9)","[0, 0, 0, 0, 0]","(10, 11)","[0, 0, 0, 0, 0]","(9, 10)","[0, 0, 0, 0, 0]","(11, 10)","[0, 0, 0, 0, 0]"
3,20,0,2,1,"(12, 13)",0,"[0, 0, 0, 0, 0]","(12, 12)","[0, 0, 0, 0, 0]","(12, 14)","[0, 0, 0, 0, 0]","(11, 13)","[0, 0, 0, 0, 0]","(13, 13)","[0, 0, 0, 0, 0]"
3,20,0,2,2,"(12, 13)",0,"[0, 0, 0, 0, 0]","(12, 12)","[0, 0, 0, 0, 0]","(12, 14)","[0, 0, 0, 0, 0]","(11, 13)","[0, 0, 0, 0, 0]","(13, 13)","[0, 0, 0, 0, 0]"
3,20,0,2,3,"(12, 13)",0,"[0, 0, 0, 0, 0]","(12, 12)","[0, 0, 0, 0, 0]","(12, 14)","[0, 0, 0, 0, 0]","(11, 13)","[0, 0, 0, 0, 0]","(13, 13)","[0, 0, 0, 0, 0]"
3,20,0,3,1,"(7, 10)",0,"[0, 0, 0, 0, 0]","(7, 9)","[0, 0, 0, 0, 0]","(7, 11)","[0, 0, 0, 0, 0]","(6, 10)","[0, 0, 0, 0, 0]","(8, 10)","[0, 0, 0, 0, 0]"
